Elements;insertBT;deleteBT;findBT;equalBT;microSec;0;10;50;3;ab
11;0;0;0;0
22;15;0;0;0
33;0;10;0;0
44;8;15;0;0
55;18;6;0;0
66;20;20;0;0
77;30;17;0;4
88;45;23;0;0
99;51;34;0;3
110;52;30;0;0
121;52;41;0;0
132;66;38;3;0
143;75;51;2;0
154;89;52;2;0
165;97;71;0;0
176;112;74;4;0
187;128;75;0;2
198;141;88;5;0
209;159;108;2;0
220;174;115;0;2
231;193;123;0;1
242;209;138;0;3
253;232;162;0;0
264;251;160;1;3
275;264;171;0;1
286;286;177;0;2
297;309;195;0;1
308;338;219;0;3
319;363;230;1;2
330;378;237;3;2
341;412;265;3;2
352;432;283;2;2
363;481;297;3;2
374;490;332;3;1
385;519;336;1;2
396;548;383;2;2
407;586;388;2;2
418;616;407;1;2
429;663;439;2;2
440;683;453;2;2
451;714;467;2;2
462;753;490;2;3
473;793;524;4;3
484;819;543;3;3
495;851;562;2;3
506;889;565;3;3
517;946;631;3;3
528;978;648;3;3
539;1019;709;3;3
550;1082;704;2;4
